spot_id,building,location,floor,description,tables,table_seat_comfort,nontable_seat_comfort,couch_comfort,max_group_size,natural_light_rating,printer,loudness_rating,overall_rating,outlets_rating,max_capacity,notes
000100,Fitzpatrick Hall of Engineering,CSE Commons,1,Desk pods,1,2,-1,-1,1,1,1,3,,4,14,Must scan in as CS or CPEG student
000101,Fitzpatrick Hall of Engineering,CSE Commons,1,Sitting area,0,-1,4,4,4,1,1,3,,2,4,Must scan in as CS or CPEG student
000102,Fitzpatrick Hall of Engineering,CSE Commons,1,Work rooms,1,2,-1,-1,8,1,1,2,,1,16,Must scan in as CS or CPEG student
000300,Fitzpatrick Hall of Engineering,CSE Office,3,Tables,1,3,-1,-1,3,1,0,1,,2,9,
000301,Fitzpatrick Hall of Engineering,Hallway,3,Enclosed seating area with whiteboards and chairs with attached desks,1,5,-1,-1,4,1,0,1,,2,4,
000302,Fitzpatrick Hall of Engineering,AME Office,3,Table and chairs,1,3,-1,-1,4,1,0,1,,3,4,
000200,Fitzpatrick Hall of Engineering,Hallway,2,Many tables and chairs (normal and high-top) and booths,1,3,-1,-1,8,2,0,1,,3,50,
000201,Fitzpatrick Hall of Engineering,EE Office,2,Tables,1,3,-1,-1,3,1,0,1,,3,5,
000202,Fitzpatrick Hall of Engineering,Dean's Office,2,Tables,1,3,-1,-1,3,1,0,1,,3,6,
000203,Fitzpatrick Hall of Engineering,Stained-Glass Window,2,"Various tables and chairs, including high-tops, swivel chairs, and chairs paired facing each other with no table",1,4,5,-1,2,2,0,1,,2,13,
000204,Fitzpatrick Hall of Engineering,East-Side Staircase,2,Tables and large booth,1,3,-1,-1,10,5,0,1,,2,18,
000103,Fitzpatrick Hall of Engineering,CEES Office,1,Tables,1,3,-1,-1,3,1,1,1,,2,3,
000104,Fitzpatrick Hall of Engineering,West Entrance,1,Tables,1,3,-1,-1,2,1,1,1,,2,4,
130100,O'Shaughnessy Hall,Charron Family Commons,1,"Booths, tables, couches, and chairs",1,2,3,5,4,4,0,3,,3,48,
130101,O'Shaughnessy Hall,West entryway,1,"Benches, chairs, large table",1,1,3,2,6,2,0,1,,1,28,
130200,O'Shaughnessy Hall,Technology and Digital Studies Programs,2,"Tables, chairs, and couches",1,3,2,1,10,4,1,1,,2,30,"Tea/coffee, snacks, TV"
080000,Geddes Hall,Basement Sitting Area,0,Couches/chairs,0,-1,4,5,8,0,No,0,,0,8,
080300,Geddes Hall,Sitting Area,3,Couches/chairs,0,-1,3,5,8,0,No,1,,1,8,
080301,Geddes Hall,Library,3,"Tables, couches, chairs",1,2,5,5,6,4,No,1,,2,20,
080100,Geddes Hall,Library,1,"Couches, chairs, beanbags",0,-1,4,5,1,0,No,1,,1,17,
080101,Geddes Hall,Sitting Area,1,Couches/chairs,0,-1,3,5,8,4,No,3,,1,8,
080102,Geddes Hall,Coffee House,1,Tables/booths,1,3,-1,-1,8,4,No,2,,3,56,Puzzles and games
080200,Geddes Hall,Sitting Area,2,Couches/chairs,0,,,,,,,,,,,
080201,Geddes Hall,Lounge,2,"Couches, chairs, beanbags",0,,,,,,,,,,,
090100,Jordan Hall of Science,,1,Large circle tables,1,0,-1,-1,10,5,No,1,,1,100,Whiteboards
090101,Jordan Hall of Science,Near South entrance,1,High top circular tables,1,2,-1,-1,4,5,No,2,,4,15,
090102,Jordan Hall of Science,Near South entrance,1,Square tables,1,3,-1,-1,4,4,No,2,,1,24,
090200,Jordan Hall of Science,South stair landing,2,Tables/booths,1,2,-1,-1,4,3,No,2,,3,20,
090201,Jordan Hall of Science,South side overlooking hall,2,Square table and couches,1,2,-1,5,4,2,No,2,,0,10,Piano
090300,Jordan Hall of Science,South stair landing,3,Square table with rolling chairs,1,2,-1,-1,4,4,No,2,,1,12,Rolling chairs
090301,Jordan Hall of Science,South stair landing,3,Desks with ThinkCentre computers,1,5,-1,-1,4,5,Yes,2,,1,6,Computers
090400,Jordan Hall of Science,South stair landing,4,Squares tables,1,2,-1,-1,4,5,No,1,,1,20,
090103,Jordan Hall of Science,Main entryway,1,Square tables,,,,,,,,,,,,
040100,Coleman Morse Center,St. Andre Room,1,"Tables with chairs, couches, fireplace",1,2,2,3,6,4,No,1,,1,16,fireplace
040101,Coleman Morse Center,Hammes Student Lounge,1,"Tables with chairs, couches, booths, fireplace",1,2,2,3,8,4,No,1,,1,60,"fireplace, piano"
040200,Coleman Morse Center,"Near fountain overlook, across from Writing Center",2,"Many chairs and a couch, a couple tables",1,2,3,3,8,0,No,1,,1,12,
030100,Cushing Hall of Engineering,Next to north entrance,1,Various chairs and small tables as well as couches and ottomans,1,4,-1,2,6,1,No,1,,1,20,very dark and honestly very creepy
030200,Cushing Hall of Engineering,Engineering Student Center,2,"Tables and chairs, window seating",1,3,3,-1,14,2,No,1,,2,34,
030300,Cushing Hall of Engineering,West hallway between Cushing and Fitzpatrick,3,Tables and chairs along hallway,1,2,4,-1,4,2,Yes,1,,1,22,there's a printer but it looks very out of order currently 
050000,LaFortune Student Center,Brother Gorch Pool Hall,0,"Chairs and couches, pool and other games",0,-1,4,4,7,1,Yes,2,,2,13,"Pool table, air hockey table, shuffleboard, ping pong table, fuzball"
050001,LaFortune Student Center,"Bottom of stairs, by FedEx office",0,Tables and chairs,1,1,-1,-1,2,1,Yes,3,,1,14,
